ElectionType,ElectionName,GeographyType,GeographyName,CountyName,FIPS,Vote,TotalVote
Gubernatorial,New Mexico,State,New Mexico,Curry County,35009,0.319094208927121,10876.2432
Gubernatorial,New Mexico,State,New Mexico,De Baca County,35011,0.273657405815274,622.269
Gubernatorial,New Mexico,State,New Mexico,Doña Ana County,35013,0.591903068214654,60793.8618
Gubernatorial,New Mexico,State,New Mexico,Eddy County,35015,0.247694693948116,16865.3094
Gubernatorial,New Mexico,State,New Mexico,Grant County,35017,0.56841524636675,10102.5918
Gubernatorial,New Mexico,State,New Mexico,Guadalupe County,35019,0.546395618913981,1385.7312
Gubernatorial,New Mexico,State,New Mexico,Harding County,35021,0.338431875972906,309.315
Gubernatorial,New Mexico,State,New Mexico,Hidalgo County,35023,0.423316367261025,1342.791
Gubernatorial,New Mexico,State,New Mexico,Lea County,35025,0.215347878849664,15230.6706
Gubernatorial,New Mexico,State,New Mexico,Lincoln County,35027,0.34149795031767,7259.805
Gubernatorial,New Mexico,State,New Mexico,Los Alamos County,35028,0.693817394212499,8568.3894
Gubernatorial,New Mexico,State,New Mexico,Luna County,35029,0.445195420207623,5730.6972
Gubernatorial,New Mexico,State,New Mexico,McKinley County,35031,0.665722245314928,18249.585
Gubernatorial,New Mexico,State,New Mexico,Mora County,35033,0.628411892646425,1782.3822
Gubernatorial,New Mexico,State,New Mexico,Otero County,35035,0.40257647145732,17248.1322
Gubernatorial,New Mexico,State,New Mexico,Quay County,35037,0.327623492990006,2638.275
Gubernatorial,New Mexico,State,New Mexico,Rio Arriba County,35039,0.639636689279621,11383.5198
Gubernatorial,New Mexico,State,New Mexico,Roosevelt County,35041,0.315496863579889,4735.7946
Gubernatorial,New Mexico,State,New Mexico,San Juan County,35045,0.376943501613884,37647.6384
Gubernatorial,New Mexico,State,New Mexico,San Miguel County,35047,0.680819201553455,7912.6416
Gubernatorial,New Mexico,State,New Mexico,Sandoval County,35043,0.571943863062029,56630.118
Gubernatorial,New Mexico,State,New Mexico,Santa Fe County,35049,0.780841654491392,59579.1636
Gubernatorial,New Mexico,State,New Mexico,Sierra County,35051,0.443521866187231,4224.879
Gubernatorial,New Mexico,State,New Mexico,Socorro County,35053,0.523849156375677,5120.073
Gubernatorial,New Mexico,State,New Mexico,Taos County,35055,0.775394400754319,11773.6206
Gubernatorial,New Mexico,State,New Mexico,Torrance County,35057,0.342750653382057,5112.0672
Gubernatorial,New Mexico,State,New Mexico,Union County,35059,0.264601031121198,1182.675
Gubernatorial,New Mexico,State,New Mexico,Valencia County,35061,0.458770971924168,23774.3148
Gubernatorial,New York,State,New York,Albany County,36001,0.662413145398569,107095.0422
Gubernatorial,New York,State,New York,Allegany County,36003,0.307546305239969,14053.0902
Gubernatorial,New York,State,New York,Bronx County,36005,0.800635011039445,261894.4632
Gubernatorial,New York,State,New York,Broome County,36007,0.521187952563645,65432.859
Gubernatorial,New York,State,New York,Cattaraugus County,36009,0.366922679500136,24752.478
Gubernatorial,New York,State,New York,Cayuga County,36011,0.458013641099159,26385.6612
Gubernatorial,New York,State,New York,Chautauqua County,36013,0.422736047306845,41202.9414
Gubernatorial,New York,State,New York,Chemung County,36015,0.424854749279703,27243.7374
Gubernatorial,New York,State,New York,Chenango County,36017,0.373983597768637,16354.3938
Gubernatorial,New York,State,New York,Clinton County,36019,0.513765387053273,26000.655
Gubernatorial,New York,State,New York,Columbia County,36021,0.612791963202099,25883.4792
Gubernatorial,New York,State,New York,Cortland County,36023,0.499837909131418,16008.6888
Gubernatorial,New York,State,New York,Delaware County,36025,0.425908104843843,16758.3228
Gubernatorial,New York,State,New York,Dutchess County,36027,0.559583479240287,110459.6616
Gubernatorial,New York,State,New York,Erie County,36029,0.597232420575861,330002.715
Gubernatorial,New York,State,New York,Essex County,36031,0.530224525703886,13946.1036
Gubernatorial,New York,State,New York,Franklin County,36033,0.476681228896924,14112.042
Gubernatorial,New York,State,New York,Fulton County,36035,0.346652177271388,17396.6034
Gubernatorial,New York,State,New York,Genesee County,36037,0.352146085511765,20643.3192
Gubernatorial,New York,State,New York,Greene County,36039,0.452164940232298,18295.4364
Gubernatorial,New York,State,New York,Hamilton County,36041,0.36509928656854,2499.2652
Gubernatorial,New York,State,New York,Herkimer County,36043,0.330346266171915,20863.8426
Gubernatorial,New York,State,New York,Jefferson County,36045,0.376816576848821,31108.3554
Gubernatorial,New York,State,New York,Kings County,36047,0.761829721123481,607879.6662
Gubernatorial,New York,State,New York,Lewis County,36049,0.26731427948936,9427.1934
Gubernatorial,New York,State,New York,Livingston County,36051,0.412754037946962,22509.3984
Gubernatorial,New York,State,New York,Madison County,36053,0.465669287407979,24493.3812
