ElectionType,ElectionName,GeographyType,GeographyName,CountyName,FIPS,Vote,TotalVote
Senate,Kansas,State,Kansas,Hodgeman County,20083,0.176918256382763,693.5934
Senate,Kansas,State,Kansas,Jackson County,20085,0.33296689890882,4625.8968
Senate,Kansas,State,Kansas,Jefferson County,20087,0.364728102541861,7077.1272
Senate,Kansas,State,Kansas,Jewell County,20089,0.147339579977249,1125.1788
Senate,Kansas,State,Kansas,Johnson County,20091,0.576625814640972,245776.6044
Senate,Kansas,State,Kansas,Kearny County,20093,0.192527668000277,927.2172
Senate,Kansas,State,Kansas,Kingman County,20095,0.231540219248768,2818.0416
Senate,Kansas,State,Kansas,Kiowa County,20097,0.158225967970251,794.7576
Senate,Kansas,State,Kansas,Labette County,20099,0.354661351850226,5673.201
Senate,Kansas,State,Kansas,Lane County,20101,0.164169013660078,596.796
Senate,Kansas,State,Kansas,Leavenworth County,20103,0.428421547547369,26045.7786
Senate,Kansas,State,Kansas,Lincoln County,20105,0.20225494452397,1079.3274
Senate,Kansas,State,Kansas,Linn County,20107,0.211886345043183,3600.4266
Senate,Kansas,State,Kansas,Logan County,20109,0.16185805577095,996.3582
Senate,Kansas,State,Kansas,Lyon County,20111,0.479135496576969,9444.6606
Senate,Kansas,State,Kansas,Marion County,20115,0.286732931661505,4178.2998
Senate,Kansas,State,Kansas,Marshall County,20117,0.289327506558216,3529.1022
Senate,Kansas,State,Kansas,McPherson County,20113,0.332158950384591,10070.5686
Senate,Kansas,State,Kansas,Meade County,20119,0.175538986586173,1218.3372
Senate,Kansas,State,Kansas,Miami County,20121,0.337471567395843,13337.6628
Senate,Kansas,State,Kansas,Mitchell County,20123,0.201986681624033,2282.3808
Senate,Kansas,State,Kansas,Montgomery County,20125,0.273228486954128,8894.4438
Senate,Kansas,State,Kansas,Morris County,20127,0.309188378301798,1995.6276
Senate,Kansas,State,Kansas,Morton County,20129,0.152200224435958,756.912
Senate,Kansas,State,Kansas,Nemaha County,20131,0.195590067902513,4034.1954
Senate,Kansas,State,Kansas,Neosho County,20133,0.301612473186118,4844.9646
Senate,Kansas,State,Kansas,Ness County,20135,0.119695507093479,970.8852
Senate,Kansas,State,Kansas,Norton County,20137,0.179318158744324,1621.5384
Senate,Kansas,State,Kansas,Osage County,20139,0.304677683193328,5590.9596
Senate,Kansas,State,Kansas,Osborne County,20141,0.183211183990646,1264.9164
Senate,Kansas,State,Kansas,Ottawa County,20143,0.193439523660362,2147.7378
Senate,Kansas,State,Kansas,Pawnee County,20145,0.27466977258306,1912.6584
Senate,Kansas,State,Kansas,Phillips County,20147,0.14718448398397,1955.5986
Senate,Kansas,State,Kansas,Pottawatomie County,20149,0.292944610115785,9610.599
Senate,Kansas,State,Kansas,Pratt County,20151,0.272939401817881,2917.0224
Senate,Kansas,State,Kansas,Rawlins County,20153,0.158835532740992,997.086
Senate,Kansas,State,Kansas,Reno County,20155,0.365852279335626,19214.6478
Senate,Kansas,State,Kansas,Republic County,20157,0.188360121630995,1744.5366
Senate,Kansas,State,Kansas,Rice County,20159,0.256091659318831,2836.9644
Senate,Kansas,State,Kansas,Riley County,20161,0.552866648403464,17243.7654
Senate,Kansas,State,Kansas,Rooks County,20163,0.161358472501768,1820.9556
Senate,Kansas,State,Kansas,Rush County,20165,0.201949020093253,1149.1962
Senate,Kansas,State,Kansas,Russell County,20167,0.217515474174275,2358.072
Senate,Kansas,State,Kansas,Saline County,20169,0.385509656548482,16596.0234
Senate,Kansas,State,Kansas,Scott County,20171,0.146152048806868,1521.8298
Senate,Kansas,State,Kansas,Sedgwick County,20173,0.475018608144038,153292.1472
Senate,Kansas,State,Kansas,Seward County,20175,0.361980121625034,3265.6386
Senate,Kansas,State,Kansas,Shawnee County,20177,0.550387162230151,58376.1102
Senate,Kansas,State,Kansas,Sheridan County,20179,0.119820913707778,986.169
Senate,Kansas,State,Kansas,Sherman County,20181,0.174654218582154,1848.612
Senate,Kansas,State,Kansas,Smith County,20183,0.183670982668441,1437.405
Senate,Kansas,State,Kansas,Stafford County,20185,0.204979440962238,1363.8972
Senate,Kansas,State,Kansas,Stanton County,20187,0.203768120991869,474.5256
Senate,Kansas,State,Kansas,Stevens County,20189,0.143029585518095,1313.679
Senate,Kansas,State,Kansas,Sumner County,20191,0.28517020070442,7523.2686
Senate,Kansas,State,Kansas,Thomas County,20193,0.196301195439037,2622.9912
Senate,Kansas,State,Kansas,Trego County,20195,0.180861179916906,1134.6402
Senate,Kansas,State,Kansas,Wabaunsee County,20197,0.29092675836552,2736.528
Senate,Kansas,State,Kansas,Wallace County,20199,0.0791999226406518,537.1164
Senate,Kansas,State,Kansas,Washington County,20201,0.183254416312829,1935.2202
Senate,Kansas,State,Kansas,Wichita County,20203,0.160782045969249,616.4466
Senate,Kansas,State,Kansas,Wilson County,20205,0.224521815083085,2577.1398
Senate,Kansas,State,Kansas,Woodson County,20207,0.236532833341495,1082.2386
Senate,Kansas,State,Kansas,Wyandotte County,20209,0.67800102700147,36248.079
Senate,Kentucky,State,Kentucky,Adair County,21001,0.185208758890751,6477.42
Senate,Kentucky,State,Kentucky,Allen County,21003,0.210022617648491,6789.6462
Senate,Kentucky,State,Kentucky,Anderson County,21005,0.316024795657168,9371.1528
Senate,Kentucky,State,Kentucky,Ballard County,21007,0.224326608634437,2931.5784
Senate,Kentucky,State,Kentucky,Barren County,21009,0.295819841537514,14253.2352
Senate,Kentucky,State,Kentucky,Bath County,21011,0.304156610994532,3871.1682
Senate,Kentucky,State,Kentucky,Bell County,21013,0.200283429020551,6732.15
Senate,Kentucky,State,Kentucky,Boone County,21015,0.384131141240317,48217.4778
Senate,Kentucky,State,Kentucky,Bourbon County,21017,0.404471217965374,6820.9416
Senate,Kentucky,State,Kentucky,Boyd County,21019,0.377089223181515,15031.9812
Senate,Kentucky,State,Kentucky,Boyle County,21021,0.429550056045333,10297.6422
Senate,Kentucky,State,Kentucky,Bracken County,21023,0.22206217431852,2984.7078
Senate,Kentucky,State,Kentucky,Breathitt County,21025,0.255471142846037,3666.6564
Senate,Kentucky,State,Kentucky,Breckinridge County,21027,0.263278254374967,7219.776
Senate,Kentucky,State,Kentucky,Bullitt County,21029,0.305504311525735,30988.9962
Senate,Kentucky,State,Kentucky,Butler County,21031,0.21378350939089,4272.186
Senate,Kentucky,State,Kentucky,Caldwell County,21033,0.263182520495552,4451.2248
Senate,Kentucky,State,Kentucky,Calloway County,21035,0.379723126696496,12117.87
Senate,Kentucky,State,Kentucky,Campbell County,21037,0.479355556797755,34499.1756
Senate,Kentucky,State,Kentucky,Carlisle County,21039,0.205361403540809,1885.002
Senate,Kentucky,State,Kentucky,Carroll County,21041,0.306325191518503,2894.4606
Senate,Kentucky,State,Kentucky,Carter County,21043,0.261842002820321,8213.9508
Senate,Kentucky,State,Kentucky,Casey County,21045,0.151656352560814,5109.156
Senate,Kentucky,State,Kentucky,Christian County,21047,0.404886764090595,15565.4586
Senate,Kentucky,State,Kentucky,Clark County,21049,0.394744828906226,12801.2742
Senate,Kentucky,State,Kentucky,Clay County,21051,0.124446329257638,5401.0038
Senate,Kentucky,State,Kentucky,Clinton County,21053,0.150707742497268,3511.635
Senate,Kentucky,State,Kentucky,Crittenden County,21055,0.200587224026101,2879.9046
Senate,Kentucky,State,Kentucky,Cumberland County,21057,0.185972854950485,2478.159
Senate,Kentucky,State,Kentucky,Daviess County,21059,0.413655966971007,33753.9084
Senate,Kentucky,State,Kentucky,Edmonson County,21061,0.234363030249659,4487.6148
Senate,Kentucky,State,Kentucky,Elliott County,21063,0.239484147190319,2086.6026
Senate,Kentucky,State,Kentucky,Estill County,21065,0.232204818548933,4515.999
